AreaCode,year,DT,MillionDomesticTourists,DR,perGDP,GDP,IP,Population,CPI,PerCapitaDisposableIncome,SoftwareEnterprises,RN,CN,PN,PT,NT,PRN,NRN,PCN,NCN,PPN,NPN
500000,2015,38885.1,388.851,2251.31,53398,15717.27,47.90240507,3016.55,101.3,20110.11,941,11272,4896,3162,461,507,9271,2001,2818,2078,1501,1661
500000,2016,44769.55,447.6955,2645.21,59433,17558.76,51.04986877,3048,101.8,22034,1201,1313,1552,2340,187,200,1072,241,1113,439,1777,563
500000,2017,53871.86,538.7186,3176.5459,65538,19424.73,53,3075,101,24153,1457,1944,2294,4090,138,17,1939,5,2292,2,4083,7
500000,2018,3935.69,39.3569,4199.236219,69901,20363.19,55,3102,102,26386,1495,3292,1285,1006,946,279,3264,28,1245,40,909,97
500000,2019,65389,653.89,5733.982582,75828,23605.77,72.71643664,3124.32,102.7,28920,,5461,2528,5522,505,163,3529,1932,2045,483,3898,1624
500000,2020,,,,78170,25002.79,73.81738859,,102.3,,,56979,127190,2324198,141,135,62,56917,84,127106,373,2323825
510000,2011,34977.8,350,2410.6,26163,21026.68,27.68944099,8050,105.8,11051.73957,724,0,2,1,0,2,0,0,0,2,0,1
510000,2012,43500,440,3229.83,29669,23872.8,31.72283995,8076,102.5,12793.4626,968,574,255,4,124,45,456,118,213,42,3,1
510000,2013,48700,490,3830.04,32772,26392.07,34.9697792,8107,102.7,14230.99,1291,39246,11030,138,435,300,30636,8610,8484,2546,92,46
510000,2014,53549.69,535.4969,4838.34,35565,28536.66,37.12439498,8140,101.6,15749.01,1461,2674,2004,5735,554,246,2073,601,1587,417,4556,1179
510000,2015,58500.63,585.0063,6137.6,37129,30053.1,39.7367138,8204,101.5,17220.96,1772,2397,1141,8702,270,290,1081,1316,718,423,4397,4305
510000,2016,63025,630.25,7600.52,40251,32680.5,43.27039458,8262,101.9,18808,222,2779,1944,7570,316,635,776,2003,486,1458,2208,5362
510000,2017,66924,669.24,8825.39,45768,36980.22,45,8302,101.4,20580,1731,10910,3320,17998,693,701,8158,2752,1978,1342,12951,5047
510000,2018,70198.44234,701.9844234,10012.7,51556,40678.13,48,8341,101.7,22461,1818,10284,11093,23799,1127,684,8136,2148,8237,2856,16340,7459
510000,2019,75081.57623,750.8157623,11454.5,55472,46615.82,70.21913543,8375,103.2,24703,,55441,33174,139475,3956,1598,34122,21319,23197,9977,59620,79854
510000,2020,,,,58126,48598.8,75.07705173,,103.2,,,926481,603990,5029970,2869,6499,41515,884966,42367,561623,264219,4765751
520000,2011,16961,169.61,1420.7,16165,5701.84,24.21642566,3469,105.1,8463.666013,172,800,672,0,74,49,209,591,149,523,0,0
520000,2012,21331,213.3,1849.49,19394,6852.2,28.44374539,3484,102.7,9831.73099,181,924,1017,42,213,52,825,99,896,121,41,1
520000,2013,26683.58,266.84,2358.18,22825,8086.86,32.72210198,3502,102.5,11083.06,210,572,456,71,156,25,548,24,424,32,62,9
520000,2014,32049.44,320.4944,2882.66,26171,9266.39,34.83426643,3508,102.4,12371.06,222,156494,35030,1742,423,201,2997,153497,947,34083,433,1309
520000,2015,37535.92,375.3592,3500.46,29956,10502.56,38.13571327,3529.5,101.8,13696.61,245,1525,1046,1165,202,111,345,1180,418,628,340,825
520000,2016,53038.23,530.3823,5011.94,33291,11734.43,42.86919831,3555,101.4,15121,91,2487,7713,5993,314,233,317,2170,434,7279,524,5469
520000,2017,74290.64,742.9064,7097.91,38137,13540.83,45,3580,100.9,16704,225,3249,7418,3402,256,178,1095,2154,719,6699,682,2720
520000,2018,96700,967,9449.58,42767,14806.45,49,3600,101.8,18430,240,5480,1740,2112,221,68,1020,4460,884,856,1211,901
520000,2019,,,12296.03,46433,16769.34,45.73544699,3622.95,102.4,20397,,3495,2170,5636,241,219,1326,2169,1188,982,1629,4007
520000,2020,,,,46267,17826.56,45.21772939,,102.6,,,37473,41123,639538,2237,3670,7938,29535,6237,34886,58708,580830
530000,2012,19630.28,196.3028,1579.49,23891,10309.47,28.35372398,4659,102.7,11570.13769,99,47,129,3,50,97,9,38,37,92,0,3
530000,2013,23972.35,240,1961.55,27447,11832.31,32.60359322,4687,103.1,12577.87,103,1544,730,122,346,407,1157,387,528,202,73,49
530000,2014,28116.49,281.1649,2516.87,29874,12814.59,34.85436687,4714,102.4,13772.21,109,1019,798,595,904,504,684,335,575,223,454,141
530000,2015,32343.95,323.4395,3104.37,31642,13619.17,37.13779577,4741.8,101.9,15222.57,106,35769,4661,868,416,314,35443,326,4535,126,652,216
530000,2016,42519.33,425.1933,4536.54,34416,14869.95,39.65625655,4771,101.5,16720,1158,9699,3936,1475,220,364,9396,303,3616,320,808,667
530000,2017,56672.12,566.7212,6682.58,38629,16376.34,41,4801,100.9,18348,170,4263,13529,10654,387,297,3713,550,12145,1384,8621,2033
530000,2018,68100,681,8698.97,43366,17881.12,43,4830,101.6,20084,176,9464,12321,23668,740,720,5804,3660,7127,5194,16154,7514
530000,2019,80000,800,10679.51,47944,23223.75,44.35935511,4858.3,102.5,22082,,11631,10604,72168,1984,1214,8669,2962,7840,2764,58451,13717
530000,2020,,,,51975,24521.9,46.97162219,,103.6,,,84467,62684,423581,2538,6082,11654,72813,10095,52589,47170,376411
540000,2017,2527.08,25.2708,366.25,40408,1310.92,42,337,101.6,15457,,320,106,513,87,11,312,8,98,8,480,33
540000,2018,3321.11,33.2111,473.8,45476,1477.63,47,344,101.7,17286,,5020,654,2487,458,93,4933,87,541,113,2240,247
540000,2019,3957.96,39.5796,540.44,48902,1697.82,57.92243767,350.56,102.3,19501,,1161,632,2136,466,149,1062,99,568,64,1765,371
540000,2020,,,,52345,1902.74,59.83606557,,102.2,,,41958,47711,668833,318,306,5012,36946,3065,44646,26274,642559
610000,2012,22941,232.76,1609.5,37733,14453.68,41.32594742,3753,102.8,13250.19459,659,27,17,0,27,18,17,10,7,10,0,0
610000,2013,28161,282,2031.1,42318,16205.45,44.87605282,3764,103,14371.55,864,1460,667,97,256,61,1396,64,623,44,82,15
610000,2014,32953,329.53,2435,46167,17689.94,46.2236962,3775,101.6,15836.75,1020,173,104,67,61,31,145,28,89,15,59,8
610000,2015,38274,382.74,2904,47301,18021.86,49.72317427,3793,101,17394.98,1328,813,333,622,63,743,164,649,75,258,137,485
610000,2016,44575,445.75,3659,50081,19165.39,52.16365067,3813,101.3,18874,580,810,199,783,105,487,130,680,72,127,202,581
610000,2017,51900.62,519.0062,4603,56154,21898.81,52.99391986,3835,101.6,20635,686,2103,1976,777,85,82,353,1750,187,1789,204,573
610000,2018,62600,626,5789,62195,24438.32,55,3864,102.1,22528,654,113021,7019,24836,1052,756,2421,110600,2038,4981,6713,18123
610000,2019,70200,702,6978.87,66649,25793.17,58.89198783,3876.21,102.9,24666,,20545,19922,56391,2202,1234,15579,4966,15754,4168,44926,11464
610000,2020,,,,66292,26181.86,65.14538559,,102.5,,,156133,126788,1553270,2138,6020,46339,109794,21584,105204,223011,1330259
620000,2013,10068.4,100.68,619,23313,6330.69,34.62190862,2582,103.2,10954.4,90,4137,1133,734,231,51,3441,696,946,187,569,165
620000,2014,12660.2,126.602,780,25202,6836.82,36.70709207,2591,102.1,12184.71,94,6281,1339,1885,94,29,4611,1670,1030,309,1647,238
620000,2015,15632.88,156.3288,975,25264,6790.32,38.6605374,2599.55,101.6,13466.59,95,2326,648,1789,53,20,1786,540,474,174,1183,606
620000,2016,19089.4,190.894,1219,26520,7152.04,42.18390805,2610,101.3,14670,93,10073,3057,11841,119,73,6462,3611,1780,1277,6984,4857
620000,2017,23889.4,238.894,1579,28026,7459.9,44.00485964,2626,101.4,16011,121,12936,3110,16439,278,139,8856,4080,1988,1122,10178,6261
620000,2018,30190.9,301.909,2058.3,30797,8246.07,46,2637,102,17488,128,58604,26679,150186,418,117,29377,29227,14275,12404,66306,83880
620000,2019,37000,370,2676,32995,8718.3,56.0263053,2647.43,102.3,19139,,165434,75923,704952,3112,1558,138756,26611,64103,11805,634951,69923
620000,2020,,,,35995,9016.7,58.40063974,,102,,,214737,119430,1068982,2278,5856,90069,124668,31429,88001,275161,793821
630000,2013,1775.78,17.76,157,29772,2122.06,47.42207376,578,103.9,12947.84,16,242,124,119,91,19,65,177,41,83,36,83
630000,2014,2000.43,20.0043,200,31824,2303.32,49.53549758,583,102.8,14373.98,20,128,140,319,37,20,54,74,84,56,203,116
630000,2015,2308.84,23.0884,246,34322,2417.05,54.04211206,588.43,102.6,15812.7,21,25,17,21,6,8,22,3,14,3,18,3
630000,2016,2869.91,28.6991,307,38213,2572.49,53.96290051,593,101.8,17302,15,163,54,142,232,545,34,129,10,44,69,73
630000,2017,3477.08,34.7708,379,41366,2624.83,52.96634246,598,101.5,19001,14,660,459,1042,609,808,468,192,329,130,794,248
630000,2018,4197.46,41.9746,464,45738,2865.23,54,603,102.5,20757,13,65,54,122,93,120,56,9,33,21,69,53
630000,2019,5072.86,50.7286,559.03,48570,2965.95,64.79661017,607.82,102.5,22618,,12235,4520,19805,361,969,8971,3264,2402,2118,6105,13700
630000,2020,,,,50819,3005.92,69.61214165,,102.6,,,19839,30541,336845,455,2970,944,18895,617,29924,3454,333391
640000,2011,1167.7,11.68,83.81,30365,2102.21,32.37156932,639,106.3,11475.43609,57,74,22,0,25,15,46,28,17,5,0,0
640000,2012,1338.99,13.39,103.05,33125,2341.29,39.86464562,647,102,13100.79583,67,181,122,0,47,51,107,74,84,38,0,0
640000,2013,1817.88,18.18,126.55,35772,2577.57,43.25960348,654,103.4,14565.78,69,99,69,7,63,127,39,60,44,25,2,5
640000,2014,1671.62,16.7162,141.56,37605,2752.1,44.59291955,662,101.9,15906.78,66,448,311,94,104,184,215,233,152,159,43,51
640000,2015,1835.75,18.3575,160.01,38805,2911.77,48.81116368,667.88,101.1,17329.09,67,84,117,110,115,51,76,8,98,19,74,36
640000,2016,2149.55,21.4955,207.33,41427,3150.06,50.22222222,675,101.5,18832,51,25,20,32,61,52,8,17,9,11,17,15
640000,2017,3078.52,30.7852,275.22,47177,3443.56,51.01570865,682,101.6,20562,80,44,28,74,116,65,24,20,11,17,47,27
640000,2018,3335.88,33.3588,291.9,51248,3705.18,52,688,102.3,22400,57,41,24,46,33,13,17,24,22,2,41,5
640000,2019,3998.5423,39.985423,335.56,54217,3748.48,72.52440725,694.66,102.1,24412,,35,13,73,32,20,27,8,11,2,51,22
640000,2020,,,,54528,3920.55,76.28294036,,101.5,,,43086,162811,579462,12,64,1,43085,1,162810,1,579461
650000,2013,5048.86,50.49,637.38,37325,8443.84,48.31515259,2264,103.9,13669.62,120,22,30,9,64,51,17,5,19,11,6,3
650000,2015,5929,59.29,985,39959,9324.8,53.48069483,2359.73,100.6,16859.11,111,0,0,2,0,2,0,0,0,0,0,2
650000,2018,14762.3,147.623,2497,51950,12199.08,55,2487,102,21500,129,2,1,3,7,6,2,0,0,1,1,2
650000,2019,21151,211.51,3593.5,54280,13597.11,71.08245408,2523.22,101.9,23103,,316,217,847,437,51,293,23,197,20,796,51
650000,2020,505,5.05,991,53593,13797.58,75.05019305,,101.5,,,57645,84140,557273,70,277,2090,55555,2169,81971,13545,543728
