AreaCode,year,DT,MillionDomesticTourists,DR,perGDP,GDP,IP,Population,CPI,PerCapitaDisposableIncome,SoftwareEnterprises,RN,CN,PN,PT,NT,PRN,NRN,PCN,NCN,PPN,NPN
310000,2013,25990.7,7.85,2968,96773,21818.15,69.68511273,2415,102.3,42173.64,2498,66,49,5,5,1,60,6,48,1,5,0
310000,2014,26818,268.18,2950.13,104402,23567.7,70.74304937,2426,102.7,45965.83,2799,186,116,225,96,9,172,14,104,12,207,18
310000,2015,27569,275.69,3004.73,111081,25123.45,73.40794197,2415.27,102.4,49867.17,3030,102,83,224,73,2,102,0,82,1,220,4
310000,2016,29621,296.21,3443.93,123628,27466.15,74.01744018,2420,103.2,54305,1479,13277,7810,16158,163,22,12611,666,6864,946,13927,2231
310000,2017,31845,318.45,4025.13,136109,30632.99,72.99003858,2418,101.7,58988,1497,15872,23482,30633,210,40,13979,1893,19805,3677,21480,9153
310000,2018,33977,339.77,4477.15,148744,32679.87,75,2424,101.6,64183,1677,11939,14609,38230,117,57,8796,3143,10791,3818,22556,15674
310000,2019,36141,361.41,4789.3,156587,38155.32,81.76541717,2428.14,102.5,69442,,117973,58783,227099,176,98,108055,9918,48455,10328,172293,54806
310000,2020,,,,155768,38700.58,93.32797428,,101.7,,,162078,176038,1675575,84,156,17065,145013,18739,157299,121122,1554453
320000,2019,87611.7,876.117,13902.2,122398,99631.52,85.59452119,8070,103.1,41400,,7,22,27,1,8,0,7,0,22,0,27
320000,2020,47174.12,471.7412,8136.31,121231,102700,56.05001106,,102.5,,,68242,110460,1500780,263,780,946,67296,435,110025,2662,1498118
330000,2011,34295,342.95,3785.3,58398,32318.85,55.86673989,5463,105.4,24220.92881,1233,15,3,0,10,7,14,1,3,0,0,0
330000,2012,39124,391.24,4476,62856,34665.33,58.80956728,5477,102.2,27189.19458,1381,105,66,0,56,34,92,13,55,11,0,0
330000,2013,43439,434.39,5202,68036,37756.59,60.56747908,5498,102.3,29774.99,1768,447,371,58,177,169,409,38,289,82,38,20
330000,2014,47875,478.75,5947,72730,40173.03,62.78140886,5508,102.1,32657.57,1699,11679,3440,83,113,71,11586,93,3402,38,68,15
330000,2015,52532,525.32,6720,78768,42886.49,64.92146597,5539,101.4,35537.09,1763,598,240,34,98,54,588,10,228,12,23,11
330000,2016,57300,573,7600,84921,46484.98,64.97316637,5590,101.9,38529,1492,1404,1692,738,211,246,182,1222,315,1377,410,328
330000,2017,62868,628.68,8763.9,93186,51768.26,65,5657,102.1,42046,1669,1645,1084,1809,729,262,1343,302,908,176,1386,423
330000,2018,68386,683.86,9834,101813,56197.15,65,5737,102.3,45840,1600,2084,939,3006,1316,515,1805,279,801,138,2522,484
330000,2019,72180,721.8,10726.93146,107814,62352,98.57882353,5850,102.9,49899,,18233,10739,34626,3814,1877,13194,5039,8618,2121,23861,10765
330000,2020,56978,569.78,8264,100620,64613,93.25139147,,102.3,,,149434,214632,2433260,1652,2838,20883,128551,39522,175110,314725,2118535
340000,2011,22534.8,225.35,1815,27314,15300.65,26.55831099,5968,105.6,11776.40385,166,343,210,2,83,53,272,71,170,40,2,0
340000,2012,29229.1,292.29,2519.1,30683,17212.05,31.21242485,5988,102.3,13606.1481,163,1946,1292,19,295,485,1220,726,785,507,12,7
340000,2013,33601.1,336.01,2903.2,34256,19229.34,35.65624067,6030,102.4,15154.31,337,1058,895,241,188,217,651,407,518,377,105,136
340000,2014,37898.8,378.988,3309.7,37184,20848.75,36.57794802,6083,101.6,16795.52,430,414,909,351,180,164,237,177,187,722,162,189
340000,2015,44403.7,444.037,3980.5,38983,22005.63,38.98365779,6143.6,101.3,18362.57,418,312,261,409,88,15,297,15,253,8,391,18
340000,2016,52241.2,522.412,4763.6,42641,24117.87,43.91542931,6196,101.8,19998,298,1139,762,2375,250,180,602,537,410,352,1388,987
340000,2017,62627,626.27,6002.4,47671,27018,47.00150285,6255,101.2,21863,269,2723,1829,5431,595,243,1977,746,1435,394,3951,1480
340000,2018,72147,721.47,7030,54078,30006.82,50,6324,102,23984,336,3275,2182,6578,1181,469,2391,884,1516,666,4566,2012
340000,2019,81955,819.55,8291.5,58072,37114,57.14543664,6365.9,102.7,26415,,4742,3442,14534,2261,1297,2783,1959,2179,1263,8819,5715
340000,2020,47046,470.46,4221.5,63426,38680.6,58.04586405,,102.7,,,38646,101000,851052,972,2504,4090,34556,6332,94668,75541,775511
350000,2016,30864,308.64,3495.21,76778,28519.15,69.12751678,3874,101.7,27608,2563,2937,901,1786,55,1,2895,42,886,15,1758,28
350000,2017,37534,375.34,4571,86943,32182.09,69,3911,101.2,30048,2926,4130,2492,5510,272,468,3722,408,2126,366,4831,679
350000,2018,45139,451.39,6033,98542,35804.04,69,3941,101.5,32644,2825,5397,2338,5942,403,524,4880,517,1944,394,5029,913
350000,2019,52697,526.97,7393.43,106966,42395,78.12666183,3973,102.6,35616,,7913,5281,9275,542,455,2668,5245,1385,3896,5474,3801
350000,2020,36981,369.81,4928,105818,43903.89,80.9901466,,102.2,,,22549,35566,376210,578,534,2391,20158,2021,33545,5732,370478
360000,2013,24846,248.46,1863.6,31686,14410.19,32.4624349,4522,102.5,15099.68,139,1075406,425402,162373,570,261,298640,776766,178653,246749,113493,48880
360000,2014,31134.47,311.3447,2615.17,34571,15714.63,33.97062191,4542,102.3,16734.17,141,1922,5950,344,217,119,1426,496,1750,4200,235,109
360000,2015,38392.18,383.9218,3600.45,36850,16723.78,38.52699408,4565.63,101.5,18437.11,135,1020,802,1415,299,197,795,225,565,237,1051,364
360000,2016,46913.39,469.1339,4954.48,40159,18364.41,44.31620209,4592,102,20110,113,1337,744,2232,468,263,1087,250,508,236,1438,794
360000,2017,57064.59,570.6459,6392.56,43868,20006.31,46.99898315,4622,102,22031,152,1494,1096,1886,477,237,1291,203,939,157,1623,263
360000,2018,68344.05,683.4405,8095.8,49013,21984.78,51,4648,102.1,24080,149,772,870,1472,272,20,748,24,835,35,1443,29
360000,2019,79078.28,790.7828,9596.7,52865,24757.5,52.46899911,4666.1,102.9,26262,,9870,3761,21287,412,1240,2040,7830,1000,2761,6922,14365
360000,2020,,,,56871,25691.5,85.22944438,,102.6,,,20053,26337,197061,328,2809,1464,18589,2609,23728,14737,182324
370000,2015,65045.35,650.4535,6505.1,56312,63002.33,48.63331153,9847.16,101.2,22703.19,3750,4483,215,437,186,304,4255,228,69,146,185,252
370000,2016,70716.48,707.1648,7399.6,59375,67008.19,52.34744144,9947,102.1,24685,3965,8152,713,1994,969,1261,4538,3614,274,439,751,1243
370000,2017,77966.18696,779.6618696,8491.5,63162,72634.15,55,10005.83,101.5,26930,3741,468,421,1327,416,207,376,92,315,106,1028,299
370000,2018,85899.3,858.993,9663.28,66472,76469.67,57,10047,102.5,29205,4124,677,545,1194,480,1228,526,151,379,166,806,388
370000,2019,93288,932.88,11087.27645,70129,71067.5,68.42667722,10070.21,103.2,31597,,4302,5643,19896,666,3995,1022,3280,938,4705,2635,17261
370000,2020,57670,576.7,6005.32,72151,73129,66.47122479,,102.8,,,166035,259322,2535360,1145,4162,8849,157186,12229,247093,41792,2493568
410000,2012,36129.2,361.29,2881.3156,30820,29599.31,30.3635977,9406,102.5,13005.92708,275,83,66,1,55,63,58,25,46,20,1,0
410000,2013,40898,408.98,3391.98,33618,32191.3,34.87600057,9413,102.9,14203.71,331,95,118,14,32,23,75,20,98,20,9,5
410000,2014,45642,456.42,4366.2,36686,34938.24,36.81644765,9436,101.9,15695.18,291,144,86,72,12,13,58,86,39,47,43,29
410000,2015,51621,516.21,5035.29,39209,37002.16,39.06118143,9480,101.3,17124.75,286,4376,1734,2030,140,222,3962,414,1530,204,1552,478
410000,2016,58013,580.13,5764.06,42341,40160.01,43.11791859,9532,101.9,18443,178,3239,1527,4665,226,364,2801,438,1248,279,4080,585
410000,2017,66204.44,662.0444,6751,46959,44552.83,45,9559,101.4,20170,188,358,372,839,204,672,165,193,222,150,569,270
410000,2018,78261.22,782.6122,8052,52114,48055.86,48,9605,102.3,21964,177,6493,3101,21823,1446,714,5437,1056,2570,531,18598,3225
410000,2019,89803,898.03,9517,55825,54259.2,48.003232,10952,103,23903,,3011,2526,13861,1130,2457,1216,1795,996,1530,4135,9726
410000,2020,,0,,55435,54997.07,49.63786339,,102.8,,,53395,115899,1375430,462,2570,3915,49480,1964,113935,17189,1358241
420000,2011,27154.87,271.55,1931.8,34738,19632.26,36.97785497,5758,105.8,12845.17058,694,84,36,0,49,46,56,28,25,11,0,0
420000,2012,34230,342.3,2553.55,39163,22250.45,39.95500952,5779,102.9,14800.75465,1251,74,102,3,31,248,18,56,8,94,0,3
420000,2013,40621.04,406.21,3130.13,43838,24791.83,42.95568201,5799,102.8,16472.46,2368,321649,142494,741,631,354,320890,759,142026,468,610,131
420000,2014,46900,469,3675.98,48630,27379.22,45.13411279,5816,102,18283.23,2501,764,1000,387,170,38,671,93,891,109,333,54
420000,2015,50668.24,506.6824,4206.02,52015,29550.19,46.53507648,5851.5,101.5,20025.56,2497,6922,1477,1452,463,81,6788,134,1364,113,1342,110
420000,2016,56930.83,569.3083,4764.18,56836,32297.91,51.1299915,5885,102.2,21787,2547,694,528,1363,133,61,601,93,413,115,1196,167
420000,2017,63499.86,634.9986,5372.79,63180,35478.09,53,5902,101.5,23757,2622,3195,3327,1828,263,116,2698,497,2984,343,1550,278
420000,2018,53556.28,535.5628,6021.42,71109,39366.55,57,5917,101.9,25815,2447,3939,3600,2537,315,145,3409,530,3406,194,2214,323
420000,2019,60143.7,601.437,6743.99,76712,45828.31,51.66694787,5917,103.1,28319,,5688,5863,19865,1346,1029,4616,1072,4688,1175,14177,5688
